	City	Cloudiness	Country	Date	Humidity	Lat	Lng	Max Temp	Wind Speed
0	Rikitea	0	PF	1542493049	99	-23.12	-134.97	76.29	12.19
1	Saskylakh	56	RU	1542493102	64	71.97	114.09	-8.23	5.37
2	Faanui	68	PF	1542493068	100	-16.48	-151.75	81.69	13.76
3	Hualmay	12	PE	1542493212	65	-11.1	-77.61	71.79	7.38
4	Dudinka	56	RU	1542493315	84	69.41	86.18	7.57	17.11
5	Kapaa	90	US	1542491760	60	22.08	-159.32	80.96	19.46
6	Atuona	8	PF	1542493063	100	-9.8	-139.03	80.74	16.55
7	Boras	90	SE	1542491400	93	57.72	12.94	41.0	3.36
8	Dikson	76	RU	1542493064	100	73.51	80.55	8.65	8.39
9	Carnarvon	12	ZA	1542493104	23	-30.97	22.13	63.15	6.71
10	Bredasdorp	0	ZA	1542488400	67	-34.53	20.04	57.2	3.36
11	Punta Arenas	75	CL	1542492000	47	-53.16	-70.91	55.4	12.75
12	North Bend	1	US	1542488160	55	43.41	-124.22	62.96	6.93
13	Dali	0	CN	1542493317	100	25.6	100.24	35.92	2.57
14	Thompson	75	CA	1542488400	77	55.74	-97.86	5.0	10.29
15	Barrow	36	AR	1542493126	96	-38.31	-60.23	56.26	22.26
16	Longyearbyen	75	NO	1542491400	80	78.22	15.63	35.6	34.45
17	Bethel	90	US	1542491580	100	60.79	-161.76	33.98	6.93
18	Fortuna	0	ES	1542492000	87	38.18	-1.13	62.6	4.7
19	Chokurdakh	56	RU	1542493069	68	70.62	147.9	-9.13	3.36
20	Vaini	20	IN	1542493053	93	15.34	74.49	68.77	1.68
21	Ushuaia	0	AR	1542492000	32	-54.81	-68.31	51.8	11.41
22	Puerto Maldonado	40	PE	1542492000	334	-12.59	-69.19	33.8	1.12
23	Isangel	68	VU	1542493114	100	-19.55	169.27	74.62	9.28
24	Coihaique	75	CL	1542492000	54	-45.58	-72.07	55.4	8.05
25	Kahului	90	US	1542488160	93	20.89	-156.47	75.92	14.99
26	Marsaxlokk	75	MT	1542491100	72	35.84	14.54	64.4	16.11
27	Larsnes	32	NO	1542491400	93	62.2	5.58	41.0	4.7
28	Mataura	88	NZ	1542493065	100	-46.19	168.86	45.42	17.0
29	Revda	68	RU	1542493322	85	67.94	34.55	31.74	15.77
30	San Patricio	100	PY	1542493082	90	-26.98	-56.83	79.21	5.37
31	Klaksvik	8	FO	1542491400	87	62.23	-6.59	46.4	18.34
32	Meulaboh	88	ID	1542493164	100	4.14	96.13	78.49	4.59
33	Kaitangata	20	NZ	1542493050	81	-46.28	169.85	52.17	17.34
34	Sinnamary	92	GF	1542493139	100	5.38	-52.96	79.17	9.62
35	Floro	88	NO	1542491400	93	61.6	5.03	48.2	6.93
36	Portland	1	US	1542491760	32	45.52	-122.67	60.98	14.99
37	Nikolskoye	40	RU	1542490200	80	59.7	30.79	41.0	17.9
38	Port Alfred	64	ZA	1542493077	89	-33.59	26.89	64.23	6.93
39	Hobart	75	AU	1542492000	62	-42.88	147.33	55.4	5.82
40	Laizhou	76	CN	1542493324	100	37.18	119.93	32.05	4.14
41	Morros	0	BR	1542492000	83	-2.87	-44.04	80.6	11.41
42	Arraial do Cabo	20	BR	1542488400	69	-22.97	-42.02	77.0	9.17
43	Fairbanks	40	US	1542491880	88	64.84	-147.72	5.0	5.26
44	Lagoa	40	PT	1542490200	82	37.14	-8.45	64.4	19.46
45	Alofi	0	NU	1542488400	74	-19.06	-169.92	80.6	6.93
46	Mahebourg	40	MU	1542488400	88	-20.41	57.7	73.4	11.41
47	Dunedin	56	NZ	1542493310	100	-45.87	170.5	50.59	4.7
48	Thunder Bay	20	CA	1542488400	57	48.41	-89.26	17.6	10.29
49	Yumen	0	CN	1542493083	62	40.29	97.04	12.07	3.36
50	Hermanus	24	ZA	1542493051	76	-34.42	19.24	56.44	6.38
51	Hobyo	20	SO	1542493108	93	5.35	48.53	75.75	10.96
52	Marquette	75	US	1542491760	62	46.54	-87.4	26.06	11.41
53	Ashland	1	US	1542491460	63	38.48	-82.64	46.94	3.36
54	Canutama	36	BR	1542493328	82	-6.53	-64.38	83.62	3.91
55	Yellowknife	75	CA	1542488400	76	62.45	-114.38	-4.01	6.93
56	Cayenne	0	GF	1542492000	78	4.94	-52.33	80.6	4.7
57	Geraldton	40	CA	1542488400	60	49.72	-86.95	10.4	9.17
